Id	Name	Desc	IconID	IsOverlay	DefaultLayer	MaxLayer	DispelGrade	Time	ActionTimes	ActionTypes	ActionParams	ActionParams2
int	int	int	int	bool	int	int	int	int	List<int>	List<int>	List<int>	List<int>
1	30001	35001	20000	1	1	100	0	-1	4	28	0	0
2	30002	35002	20001	0	1	1	0	3	3	3	2	0
3	30003	35003	20002	0	1	1	0	1	4	33	0	0
4	30004	35004	20003	0	1	1	0	3	2	9	3	0
5	30005	35005	20004	1	1	10	0	-1	6	34	1	0
6	30006	35006	20005	1	1	10	0	-1	4	14	0	0
7	30007	35007	20006	0	1	1	0	0	6	19,29	100,1	0,0
8	30008	35008	20007	1	1	20	1	-1	5	29	1	0
9	30009	35009	20008	1	1	20	0	5	2	9	3	0
10	30010	35010	9	0	1	1	0	-1	3	1	5	0
