Id	Name	Desc	ExtraDesc	Type	Quality	GroupId	Spending	ClassLimit	IconLeftID	IconRightID	ShowID	Effect	Price	ActionTypes	ActionParams	ActionParams2
int	int	int	int	int	int	int	int	int	int	int	int	int	int	List<int>	List<int>	List<int>
1	10001	20001	0	0	0	0	0	0	1	1	1	1	5	1	1	0
2	10002	20002	0	2	0	0	0	0	1	1	1	1	5	8	2	0
3	10003	20003	0	2	0	0	1	0	1	1	1	1	5	3	5	0
4	10004	20004	0	2	0	0	0	0	1	1	1	1	5	6	2	2
5	10005	20005	0	1	1	0	0	0	1	1	1	1	5	11	1	0
6	10006	20006	0	1	1	0	0	0	1	1	1	1	5	11	2	0
7	10007	20007	0	3	1	0	0	0	1	1	1	1	5	3,6	20,3	0,0
8	10008	20008	0	3	1	0	0	0	1	1	1	1	5	3,20	20,0	0,1
9	10009	20009	0	3	1	0	0	0	1	1	1	1	5	7	10	5
10	10010	20010	0	3	1	0	0	0	1	1	1	1	5	10,4	5,10	0,0
11	10011	20011	0	3	0	0	0	0	1	1	1	1	5	7	11	5
12	10012	20012	0	3	1	0	0	0	1	1	1	1	5	5	20	0
13	10013	20013	0	3	1	0	0	0	1	1	1	1	5	2	20	0
10001	10014	20014	0	0	0	0	0	1	1	1	1	1	5	1	5	0
10002	10015	20015	0	2	0	0	1	1	1	1	1	1	5	1,3	4,4	0
10003	10016	20016	0	2	0	0	0	1	1	1	1	1	5	1	10	0
10004	10017	20017	0	2	0	0	1	1	1	1	1	1	5	1,9	15,15	0
10005	10018	20018	0	2	1	0	1	1	1	1	1	1	5	21	1	0
10006	10019	20019	0	2	1	0	1	1	1	1	1	1	5	24	1	0
10007	10020	20020	0	2	1	0	1	1	1	1	1	1	1	6	1	10
10008	10021	20021	0	2	1	0	3	1	1	1	1	1	5	23	2	0
10009	10022	20022	0	2	1	0	2	1	1	1	1	1	5	25	60	0
10010	10023	20023	0	1	1	0	0	1	1	1	1	1	5	11	3	0
10011	10024	20024	0	0	0	0	0	1	1	1	1	1	5	1	2	0
10012	10025	20025	0	2	0	0	0	1	1	1	1	1	5	6	5	1
10013	10026	20026	0	2	0	0	0	1	1	1	1	1	5	15	5	0
10014	10027	20027	0	0	1	0	0	1	1	1	1	1	5	1,6	4,4	0,2
20000	10028	20028	0	0	0	1	0	2	1	1	1	1	5	1	2	0
20001	10029	20029	0	0	0	1	0	2	1	1	1	1	5	1	4	0
20002	10030	20030	0	2	0	1	1	2	1	1	1	1	5	1,12	2,1	0,0
20003	10031	20031	0	2	0	1	1	2	1	1	1	1	5	13	2	0
20004	10032	20032	0	2	1	1	0	2	1	1	1	1	5	6	6	1
20005	10033	20033	0	2	1	1	1	2	1	1	1	1	5	6	7	1
20006	10034	20034	0	2	1	1	1	2	1	1	1	1	5	1,18	3,1	0
30000	10035	20035	0	0	0	0	1	3	1	1	1	1	5	1	1	0
30001	10036	20036	0	2	0	0	1	3	1	1	1	1	5	1	2	0
30002	10037	20037	0	2	0	0	2	3	1	1	1	1	5	6	8	4
30003	10038	20038	0	2	0	0	1	3	1	1	1	1	5	31	8	0
30004	10039	20039	0	2	0	0	3	3	1	1	1	1	5	16	3	30001
30005	10040	20040	0	2	1	0	0	3	1	1	1	1	5	6,8	9,3	0,0
30006	10041	20041	0	2	1	0	1	3	1	1	1	1	5	32	8	0
30007	10042	20042	0	2	1	0	1	3	1	1	1	1	5	26	2	0
