Id	Name	Desc	ClassType	IconID	Image	ModelID	MapSkillId	BattleSkillId	ChooseText	DefaultCardList
int	string 	string	int	int	int	int	int	int	int	List<int>
1	战士	拥有强大力量的人类	1	1	1	1	1	1	1	1,2,3,4,5
2	萨满	拥有强大力量的人类	2	1	1	1	2	2	2	1,2,3,4,6
3	法师	拥有强大力量的人类	3	1	1	1	3	3	3	1,2,3,4,7
4	德鲁伊	拥有强大力量的人类	4	1	1	1	4	4	4	1,2,3,4,8
5	武僧	拥有强大力量的人类	5	1	1	1	5	5	5	1,2,3,4,9
6	术士	拥有强大力量的人类	6	1	1	1	6	6	6	1,2,3,4,10
7	盗贼	拥有强大力量的人类	7	1	1	1	7	7	7	1,2,3,4,11
8	牧师	拥有强大力量的人类	8	1	1	1	8	8	8	1,2,3,4,12
9	猎人	拥有强大力量的人类	9	1	1	1	9	9	9	1,2,3,4,13
