Id	Name	Desc	Type	Quality	ShowID	Price
int	int	int	int	int	int	int
-10001	10014	20014	0	0	1	5
-10002	10015	20015	0	0	1	5
-10003	10016	20016	0	0	1	5
-10004	10017	20017	0	0	1	5
-10005	10018	20018	0	1	1	5
-10006	10019	20019	0	1	1	5
-10007	10020	20020	0	1	1	5
-10008	10021	20021	0	1	1	5
-10009	10022	20022	0	1	1	5
-10010	10023	20023	0	1	1	5
-10011	10024	20024	0	0	1	5
-10012	10025	20025	0	0	1	5
-10013	10026	20026	0	0	1	5
-10014	10027	20027	0	1	1	5
1	10001	20001	0	0	1	5
2	10002	20002	0	0	1	5
3	10003	20003	0	0	1	5
4	10004	20004	0	0	1	5
5	10005	20005	0	1	1	5
6	10006	20006	0	1	1	1
7	10007	20007	0	1	1	5
8	10008	20008	0	1	1	5
9	10009	20009	0	1	1	5
10	10010	20010	0	1	1	5
11	10011	20011	0	0	1	5
12	10012	20012	0	1	1	5
13	10013	20013	0	1	1	5
10000	10028	20028	0	0	1	5
10001	10029	20029	0	0	1	5
10002	10030	20030	0	0	1	5
10003	10031	20031	0	0	1	5
10004	10032	20032	0	1	1	5
10005	10033	20033	0	1	1	5
10006	10034	20034	0	1	1	5
20000	10035	20035	0	0	1	5
20001	10036	20036	0	0	1	5
20002	10037	20037	0	0	1	5
20003	10038	20038	0	0	1	5
20004	10039	20039	0	0	1	5
20005	10040	20040	0	1	1	5
20006	10041	20041	0	1	1	5
20007	10042	20042	0	1	1	5
100000	60001	60001	3	0	1	1
