Lv	HP	MP	Food	CardCount	Exp
int	List<int>	List<int>	List<int>	List<int>	List<int>
1	10,10,10	1,1,1	10,10,10	10,10,10	10,10,10
2	15,20,14	2,1,3	15,20,14	10,10,10	20,20,20
3	20,30,18	3,2,5	20,30,18	10,11,11	30,30,30
4	25,40,22	4,2,7	25,40,22	10,11,11	40,40,40
5	30,50,26	5,3,9	30,50,26	10,12,12	50,50,50
6	35,60,30	6,3,11	35,60,30	10,12,12	60,60,60
7	40,70,34	7,4,13	40,70,34	10,13,13	70,70,70
8	45,80,38	8,4,15	45,80,38	10,13,13	80,80,80
9	50,90,42	9,5,17	50,90,42	10,14,14	90,90,90
10	55,100,46	10,5,19	55,100,46	10,14,14	100,100,100
11	60,110,50	11,6,21	60,110,50	10,15,15	110,110,110
12	65,120,54	12,6,23	65,120,54	10,15,15	120,120,120
13	70,130,58	13,7,25	70,130,58	10,16,16	130,130,130
14	75,140,62	14,7,27	75,140,62	10,16,16	140,140,140
15	80,150,66	15,8,29	80,150,66	10,17,17	150,150,150
16	85,160,70	16,8,31	85,160,70	10,17,17	160,160,160
17	90,170,74	17,9,33	90,170,74	10,18,18	170,170,170
18	95,180,78	18,9,35	95,180,78	10,18,18	180,180,180
19	100,190,82	19,10,37	100,190,82	10,19,19	190,190,190
20	105,200,86	20,10,39	105,200,86	10,19,19	200,200,200
21	110,210,90	21,11,41	110,210,90	10,20,20	210,210,210
22	115,220,94	22,11,43	115,220,94	10,20,20	220,220,220
23	120,230,98	23,12,45	120,230,98	10,21,21	230,230,230
24	125,240,102	24,12,47	125,240,102	10,21,21	240,240,240
25	130,250,106	25,13,49	130,250,106	10,22,22	250,250,250
26	135,260,110	26,13,51	135,260,110	10,22,22	260,260,260
27	140,270,114	27,14,53	140,270,114	10,23,23	270,270,270
28	145,280,118	28,14,55	145,280,118	10,23,23	280,280,280
29	150,290,122	29,15,57	150,290,122	10,24,24	290,290,290
30	155,300,126	30,15,59	155,300,126	10,24,24	1000000,1000000,1000000
